text,label,cleaned_text
en Pelham Parkway,2,en pelham parkway
The calm before...... | w/ sofarsounds @user | : B. Hall.......#sofarsounds…,10,the calm before...... w sofarsounds b. hall.......
"Just witnessed the great solar eclipse @ Tampa, Florida",6,"just witnessed the great solar eclipse tampa, florida"
"This little lady is 26 weeks pregnant today! Excited for baby Cam to come! @ Springfield,…",1,"this little lady is 26 weeks pregnant today! excited for baby cam to come! springfield,"
"Great road trip views! @ Shartlesville, Pennsylvania",16,"great road trip views! shartlesville, pennsylvania"
CHRISTMAS DEALS BUY ANY 3 SMALL POMADES 1.5 OR 1.7 OZ RECEIVE THE F&amp;S COLLECTOR TIN &amp; COMB…,17,christmas deals buy any 3 small pomades 1.5 or 1.7 oz receive the famps collector tin amp comb
the #sisterstunt was mad real last night #MiaStaxxx #AndreaStaxxx #denverqueen #staxxxlife…,4,the was mad real last night
"I'm starting to love shooting in the dark #brandonwolfel @ New York, New York",10,"i'm starting to love shooting in the dark new york, new york"
Let the sun shine through ️ 5x5 Feet #oilpainting #oiloncanvas #acrylicpainting #acryliconcanvas…,12,let the sun shine through 5x5 feet
Still bitch im trill never been no fiend :@vibesbygallo #mustard @ Connecticut,18,still bitch im trill never been no fiend connecticut
Lines for days ️ ️ ️ #dance #dancephotography #dancephotographer #sandiegodance @ Scripps…,0,lines for days scripps
"Sunrise. @ Miami South Beach,Florida",1,"sunrise. miami south beach,florida"
"Welcome to New York! @ Times Square, New York City",5,"welcome to new york! times square, new york city"
"Tuesday's are awkward @ Richmond, Virginia",7,"tuesday's are awkward richmond, virginia"
"we been rocking, geeking, going all night @ The National Orange Show NOS Event Center",7,"we been rocking, geeking, going all night the national orange show nos event center"
My grandma is much cooler than yours. 88 years old and getting lit -…,4,my grandma is much cooler than yours. 88 years old and getting lit
this summer was one to remember because of them ️ @ North Cypress…,0,this summer was one to remember because of them north cypress
Thx for showing this newbie passholder around @ Disneyland,7,thx for showing this newbie passholder around disneyland
Celebrating Adrik's Birthday a few days early ️ Happy 20th Birthday to my first born! @ The…,0,celebrating adrik's birthday a few days early happy 20th birthday to my first born! the
